clube_id,nome,slug,apelido,atleta_id,rodada_id,posicao_id,status_id,pontos_num,preco_num,variacao_num,media_num,jogos_num,RB,FC,GC,CA,CV,SG,DD,DP,GS,FS,PI,A,FT,FD,FF,G,I,PP
356,Wellington Pereira do Nascimento,wellington-paulista,Wellington Paulista,38279,25,5,2,0.5,7.57,-0.31,3.17,19,0,18,0,0,0,0,0,0,0,20,35,1,1,4,8,5,5,0
356,Felipe Alves Raymundo,felipe-alves,Felipe Alves,72372,25,1,7,3.1,3.86,0.42,1.52,20,0,0,0,0,0,6,15,0,20,4,235,0,0,0,0,0,0,0
356,Yuri César Santos de Oliveira Silva,yuri-cesar,Yuri César ,103446,25,5,6,0.3,4.49,0.08,1.97,19,0,16,0,2,0,0,0,0,0,25,32,1,0,4,13,1,4,0
356,Marcelo Boeck,marcelo-boeck,Marcelo Boeck,37788,25,1,6,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
356,Mariano Vázquez,mariano-vazquez,Mariano Vázquez,98760,25,4,6,0.1,1.05,-0.07,-0.14,9,0,4,0,1,0,0,0,0,0,6,8,0,0,0,0,0,1,0
356,Juan Sebastián Quintero Fletcher,quintero,Quintero,96382,25,3,5,0,1.67,0,1.38,9,0,6,0,3,1,4,0,0,0,3,17,0,0,0,2,0,0,0
356,Roger de Carvalho,roger-carvalho,Roger Carvalho,51415,25,3,5,0,2.77,0,2.1,5,0,3,0,0,1,3,0,0,0,2,10,0,0,0,0,0,0,0
356,Luiz Henrique Araújo Silva,luiz-henrique,Luiz Henrique,101595,25,4,6,0,1.66,0,0.5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
356,Wanderley de Jesus Sousa,derley,Derley,60791,25,4,6,0,2.82,0,-0.35,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
356,Paulo Marcos de Jesus Ribeiro,paulao,Paulão,63172,25,3,7,-1.9,2.62,-0.72,1.82,18,0,21,0,3,0,6,0,0,0,7,65,0,0,2,3,0,3,0
356,Carlos Emiliano Pereira,carlinhos,Carlinhos,63194,25,2,6,-0.9,5.89,-0.25,2.67,15,0,20,0,1,0,6,0,0,0,15,86,0,0,0,2,0,1,0
356,Jackson de Souza,jackson,Jackson,70934,25,3,7,-0.8,3.21,-0.28,1.42,13,0,12,0,4,0,3,0,0,0,13,47,0,0,0,2,0,0,0
