grouping_key,clube_id,nome,slug,apelido,atleta_id,rodada_id,posicao_id,status_id,pontos_num,preco_num,variacao_num,media_num,jogos_num,RB,FC,GC,CA,CV,SG,DD,DP,GS,FS,PI,A,FT,FD,FF,G,I,PP
Flamengo,262,Everton Augusto de Barros Ribeiro,everton-ribeiro,Everton Ribeiro,51772,19,4,7,2.3,8.74,-0.7,4.8,15,0,16,0,2,0,0,0,0,0,30,120,2,0,6,8,5,1,0
Flamengo,262,Pedro Guilherme Abreu dos Santos,pedro,Pedro,94583,19,5,7,5.9,6.17,-0.64,4.57,15,0,16,0,1,0,0,0,0,0,14,31,0,0,12,8,7,4,1
Flamengo,262,Rodrigo Caio Coquette Russo,rodrigo-caio,Rodrigo Caio,73800,19,3,5,0,8.92,0,2.78,9,0,9,0,1,0,2,0,0,0,3,16,0,0,1,3,0,0,0
Flamengo,262,Willian Souza Arão da Silva,willian-arao,Willian Arão,78478,19,4,7,0,7.29,0,1.29,16,0,17,0,3,0,0,0,0,0,6,57,0,0,1,7,0,0,0
Flamengo,262,Diego Alves Carreira,diego-alves,Diego Alves,38509,19,1,6,0,10.72,0,2.22,5,0,0,0,0,1,1,6,0,6,2,19,0,0,0,0,0,0,0
Flamengo,262,Filipe Luís Kasmirski,filipe-luis,Filipe Luís,38750,19,2,7,-1.1,5.95,-1.36,3.6,14,0,19,1,3,0,3,0,0,0,17,122,1,1,2,1,1,1,0
Flamengo,262,César Bernardo Dutra,cesar,César,78086,19,1,6,0,3.38,0,1.2,4,0,0,0,0,0,2,0,0,2,0,12,0,0,0,0,0,0,0
Flamengo,262,Diego Ribas da Cunha,diego,Diego,38909,19,4,5,0,6.55,0,2.43,12,0,17,0,3,0,0,0,0,0,31,44,2,0,2,4,1,0,0
Flamengo,262,Gustavo Henrique Vernes,gustavo-henrique,Gustavo Henrique,78248,19,3,6,-3.3,4.89,-0.15,2.2,10,0,10,0,2,0,2,0,0,0,5,29,0,0,0,3,1,0,0
Flamengo,262,Victor Vinícius Coelho dos Santos,vitinho,Vitinho,78435,19,5,6,7.4,7.12,1.59,2.12,14,0,17,0,2,0,0,0,0,0,9,66,1,0,8,11,1,2,0
Flamengo,262,Renê Rodrigues Martins,rene,Renê,78445,19,2,6,0,5.23,0,3.2,6,0,4,0,1,0,2,0,0,0,3,51,0,0,0,1,0,0,0
Flamengo,262,Leonardo Pereira,leo-pereira,Léo Pereira,83528,19,3,6,2,5.18,0.12,2.41,10,0,14,0,1,0,1,0,0,0,7,43,0,0,2,2,1,0,0
Flamengo,262,Gerson Santos da Silva,gerson,Gerson,89256,19,4,7,1.3,9.05,-1.67,2.56,14,0,33,0,5,0,0,0,0,0,50,54,1,0,3,7,0,1,0
Flamengo,262,Pedro Rocha Neves,pedro-rocha,Pedro Rocha,90302,19,5,6,0,3.82,0,1.33,3,0,2,0,0,0,0,0,0,0,1,15,1,0,0,0,0,0,0
Flamengo,262,Thiago Maia Alencar,thiago-maia,Thiago Maia,89637,19,4,7,0,5.27,0,2.38,10,0,22,0,3,0,0,0,0,0,6,52,1,0,2,2,0,0,0
Flamengo,262,Gabriel Batista de Souza,gabriel-batista,Gabriel Batista,98333,19,1,6,0,1.56,0,-0.9,3,0,0,0,0,0,0,2,0,5,1,12,0,0,0,0,0,0,0
Flamengo,262,Matheus Soares Thuler,thuler,Thuler,100125,19,3,7,0,2.12,0,-0.6,3,0,1,0,1,0,0,0,0,0,1,8,0,0,0,0,0,0,0
Flamengo,262,Lincoln Corrêa dos Santos,lincoln,Lincoln,100065,19,5,6,1.1,3.51,0.24,1.88,10,0,2,0,1,0,0,0,0,0,0,14,1,0,6,0,1,0,0
Flamengo,262,Michael Richard Delgado de Oliveira,michael,Michael,99392,19,5,6,-0.3,5.31,-0.01,1.24,10,0,12,0,1,0,0,0,0,0,3,29,1,0,3,9,0,0,0
Flamengo,262,João Lucas de Almeida Carvalho,joao-lucas,João Lucas,104257,19,2,6,0,4.17,0,3.55,2,0,6,0,1,0,1,0,0,0,7,12,0,0,0,1,0,0,0
Flamengo,262,Matheus França Silva,matheuzinho,Matheuzinho,101727,19,2,6,0,2.77,0,2.77,6,0,2,0,1,0,1,0,0,0,2,18,1,0,3,1,0,0,0
Flamengo,262,Daniel Cabral de Oliveira,daniel-cabral,Daniel Cabral,110465,19,4,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Flamengo,262,Mauricio Aníbal Isla Isla,isla,Isla,69345,19,2,7,-3.7,7.7,-2.08,3,11,0,12,0,2,0,2,0,0,0,6,90,4,0,0,0,0,6,0
Flamengo,262,João Fernando Monteiro Siqueira,joao-fernando,João Fernando,104079,19,1,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Flamengo,262,João Victor Gomes da Silva,gomes,Gomes,107109,19,4,6,5.2,1.94,0.94,5.2,1,0,4,0,1,0,0,0,0,0,1,3,0,1,0,0,0,0,0
Flamengo,262,Gabriel Barbosa Almeida,gabriel,Gabriel,83257,19,5,6,0,13.46,0,6.96,9,0,3,0,2,0,0,0,0,0,10,55,0,1,11,15,5,7,0
Flamengo,262,Giorgian Daniel de Arrascaeta Benedetti,arrascaeta,Arrascaeta,87863,19,4,6,0,18.58,0,6.36,9,0,10,0,0,0,0,0,0,0,10,97,2,1,7,7,3,0,0
Flamengo,262,Hugo de Souza Nogueira,hugo-souza,Hugo Souza,101574,19,1,7,-0.5,2.17,-0.64,2.53,7,0,0,0,0,0,1,9,0,10,0,33,0,0,0,0,0,0,0
Flamengo,262,Bruno Henrique Pinto,bruno-henrique,Bruno Henrique,90285,19,5,7,-0.6,11.22,-1.33,3.63,12,0,21,0,6,0,0,0,0,0,28,66,3,1,4,6,3,4,1
Flamengo,262,João Pedro Vilardi Pinto,pepe,Pepê,101573,19,4,6,0,1.53,0,-0.2,1,0,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0
