grouping_key,clube_id,nome,slug,apelido,atleta_id,rodada_id,posicao_id,status_id,pontos_num,preco_num,variacao_num,media_num,jogos_num,RB,FC,GC,CA,CV,SG,DD,DP,GS,FS,PI,A,FT,FD,FF,G,I,PP
Flamengo,262,César Bernardo Dutra,cesar,César,78086,23,1,6,0,3.38,0,1.2,4,0,0,0,0,0,2,0,0,2,0,12,0,0,0,0,0,0,0
Flamengo,262,Victor Vinícius Coelho dos Santos,vitinho,Vitinho,78435,23,5,6,0,8.21,0,2.83,16,0,19,0,2,0,0,0,0,0,10,85,2,0,12,15,1,2,0
Flamengo,262,Gustavo Henrique Vernes,gustavo-henrique,Gustavo Henrique,78248,23,3,6,0,4.39,0,1.24,12,0,13,1,3,0,2,0,0,0,5,35,0,0,0,3,1,0,0
Flamengo,262,Renê Rodrigues Martins,rene,Renê,78445,23,2,6,0,6.46,0,3.05,9,0,9,0,1,0,2,0,0,0,7,74,0,0,0,1,1,0,0
Flamengo,262,Willian Souza Arão da Silva,willian-arao,Willian Arão,78478,23,4,7,0,7.32,0,1.19,19,0,25,0,4,0,0,0,0,0,8,69,0,0,2,7,0,0,0
Flamengo,262,Rodrigo Caio Coquette Russo,rodrigo-caio,Rodrigo Caio,73800,23,3,7,0,8.92,0,2.78,9,0,9,0,1,0,2,0,0,0,3,16,0,0,1,3,0,0,0
Flamengo,262,Everton Augusto de Barros Ribeiro,everton-ribeiro,Everton Ribeiro,51772,23,4,7,0,9.13,0,4.55,17,0,18,0,3,0,0,0,0,0,35,137,2,1,7,11,5,1,0
Flamengo,262,Giorgian Daniel de Arrascaeta Benedetti,arrascaeta,Arrascaeta,87863,23,4,7,0,19.17,0,6.78,11,0,11,0,0,0,0,0,0,0,13,111,3,1,8,9,4,0,0
Flamengo,262,Thiago Maia Alencar,thiago-maia,Thiago Maia,89637,23,4,5,0,6.99,0,2.72,12,0,26,0,4,0,0,0,0,0,7,66,2,1,2,3,0,0,0
Flamengo,262,Gerson Santos da Silva,gerson,Gerson,89256,23,4,7,0,9.59,0,2.98,17,0,36,0,5,0,0,0,0,0,65,73,1,0,6,9,0,2,0
Flamengo,262,Gabriel Barbosa Almeida,gabriel,Gabriel,83257,23,5,6,0,11.88,0,5.75,11,0,3,0,2,0,0,0,0,0,11,57,0,1,11,16,5,8,0
Flamengo,262,Mauricio Aníbal Isla Isla,isla,Isla,69345,23,2,7,0,8.96,0,3.03,13,0,14,0,3,0,2,0,0,0,6,106,5,0,0,0,0,6,0
Flamengo,262,Bruno Henrique Pinto,bruno-henrique,Bruno Henrique,90285,23,5,7,0,14.49,0,4.88,15,0,26,0,7,0,0,0,0,0,38,86,3,3,8,9,5,4,1
Flamengo,262,Pedro Rocha Neves,pedro-rocha,Pedro Rocha,90302,23,5,6,0,3.3,0,1,4,0,2,0,0,0,0,0,0,0,1,15,1,0,0,0,0,0,0
Flamengo,262,Pedro Guilherme Abreu dos Santos,pedro,Pedro,94583,23,5,7,0,5.79,0,4.48,16,0,16,0,1,0,0,0,0,0,16,34,0,0,14,8,7,4,1
Flamengo,262,Leonardo Pereira,leo-pereira,Léo Pereira,83528,23,3,2,0,5.1,0,2.26,12,0,15,0,1,0,1,0,0,0,9,56,0,0,2,3,1,0,0
Flamengo,262,Diego Ribas da Cunha,diego,Diego,38909,23,4,6,0,5.42,0,2.32,13,0,17,0,3,0,0,0,0,0,31,44,2,0,2,4,1,0,0
Flamengo,262,Diego Alves Carreira,diego-alves,Diego Alves,38509,23,1,7,0,7.92,0,1.37,6,0,0,0,0,1,1,6,0,7,2,28,0,0,0,0,0,0,0
Flamengo,262,Hugo de Souza Nogueira,hugo-souza,Hugo Souza,101574,23,1,6,0,1.42,0,0.71,9,0,0,0,0,0,1,9,0,15,0,46,0,0,0,0,0,0,0
Flamengo,262,Rogério Ceni,rogerio-ceni,Rogério Ceni,97341,23,6,7,0,8.18,0,3.28,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Flamengo,262,Michael Richard Delgado de Oliveira,michael,Michael,99392,23,5,6,0,5.21,0,1.08,13,0,13,0,1,0,0,0,0,0,7,38,1,0,3,9,0,0,0
Flamengo,262,Ramon Ramos Lima,ramon,Ramon,101597,23,2,6,0,1.25,0,-0.1,3,0,1,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0
Flamengo,262,Lincoln Corrêa dos Santos,lincoln,Lincoln,100065,23,5,6,0,3.78,0,1.88,12,0,2,0,1,0,0,0,0,0,1,15,1,0,8,0,1,0,0
Flamengo,262,Matheus Soares Thuler,thuler,Thuler,100125,23,3,6,0,2.2,0,-0.28,4,0,3,0,1,0,0,0,0,0,3,11,0,0,0,0,0,0,0
Flamengo,262,Gabriel Batista de Souza,gabriel-batista,Gabriel Batista,98333,23,1,6,0,1.56,0,-0.9,3,0,0,0,0,0,0,2,0,5,1,12,0,0,0,0,0,0,0
Flamengo,262,Matheus França Silva,matheuzinho,Matheuzinho,101727,23,2,6,0,2.37,0,2.2,8,0,4,0,1,0,1,0,0,0,2,26,1,0,3,2,0,0,0
Flamengo,262,João Pedro Vilardi Pinto,pepe,Pepê,101573,23,4,6,0,1.53,0,-0.2,1,0,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0
Flamengo,262,Guilherme da Silva Gonçalves,guilherme-bala,Guilherme Bala,105318,23,5,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Flamengo,262,João Lucas de Almeida Carvalho,joao-lucas,João Lucas,104257,23,2,6,0,4.17,0,3.55,2,0,6,0,1,0,1,0,0,0,7,12,0,0,0,1,0,0,0
Flamengo,262,João Victor Gomes da Silva,gomes,Gomes,107109,23,4,6,0,1.94,0,5.2,1,0,4,0,1,0,0,0,0,0,1,3,0,1,0,0,0,0,0
Flamengo,262,Gabriel Rodrigues Noga,gabriel-noga,Gabriel Noga,107107,23,3,6,0,0.78,0,-0.35,2,0,1,0,1,0,0,0,0,0,1,7,0,0,0,0,0,0,0
Flamengo,262,José Ítalo Monteiro Fidelis dos Santos,italo,Ítalo,107108,23,2,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Flamengo,262,Thiago Fernandes Rodrigues,thiago-fernandes,Thiago Fernandes,104282,23,5,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Flamengo,262,Gabriel de Sousa Barros,gabriel-barros,Gabriel Barros,108352,23,4,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Flamengo,262,João Fernando Monteiro Siqueira,joao-fernando,João Fernando,104079,23,1,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
